phage,phy,scorephy
NC_005342.2,Actinomycetota,0
NC_005342.2,Campylobacterota,0
NC_048851.1,Mycoplasmatota,0
NC_048851.1,Spirochaetota,0
NC_048851.1,Cyanobacteriota,0
NC_048851.1,Bacillota,0
NC_048851.1,Bacteroidota,0
NC_048851.1,Rhodothermota,0
NC_048851.1,Pseudomonadota,0
NC_048851.1,Bdellovibrionota,0
NC_048851.1,Deinococcota,0
NC_048851.1,Chlamydiota,0
NC_048851.1,Actinomycetota,1
NC_048851.1,Campylobacterota,0
NC_031938.1,Mycoplasmatota,0
NC_031938.1,Spirochaetota,0
NC_031938.1,Cyanobacteriota,0
NC_031938.1,Bacillota,0
NC_031938.1,Bacteroidota,1
NC_031938.1,Rhodothermota,0
NC_031938.1,Pseudomonadota,0
NC_031938.1,Bdellovibrionota,0
NC_031938.1,Deinococcota,0
NC_031938.1,Chlamydiota,0
NC_031938.1,Actinomycetota,0
NC_031938.1,Campylobacterota,0
NC_048688.1,Mycoplasmatota,0
NC_048688.1,Spirochaetota,0
NC_048688.1,Cyanobacteriota,0
NC_048688.1,Bacillota,1
NC_048688.1,Bacteroidota,0
NC_048688.1,Rhodothermota,0
NC_048688.1,Pseudomonadota,0
NC_048688.1,Bdellovibrionota,0
NC_048688.1,Deinococcota,0
NC_048688.1,Chlamydiota,0
NC_048688.1,Actinomycetota,0
NC_048688.1,Campylobacterota,0
NC_048003.1,Mycoplasmatota,0
NC_048003.1,Spirochaetota,0
NC_048003.1,Cyanobacteriota,0
NC_048003.1,Bacillota,0
NC_048003.1,Bacteroidota,0
NC_048003.1,Rhodothermota,0
NC_048003.1,Pseudomonadota,1
NC_048003.1,Bdellovibrionota,0
NC_048003.1,Deinococcota,0
NC_048003.1,Chlamydiota,0
NC_048003.1,Actinomycetota,0
NC_048003.1,Campylobacterota,0
NC_049822.1,Mycoplasmatota,0
NC_049822.1,Spirochaetota,0
NC_049822.1,Cyanobacteriota,0
NC_049822.1,Bacillota,0
NC_049822.1,Bacteroidota,0
NC_049822.1,Rhodothermota,0
NC_049822.1,Pseudomonadota,1
NC_049822.1,Bdellovibrionota,0
NC_049822.1,Deinococcota,0
NC_049822.1,Chlamydiota,0
NC_049822.1,Actinomycetota,0
NC_049822.1,Campylobacterota,0
NC_049820.1,Mycoplasmatota,0
NC_049820.1,Spirochaetota,0
NC_049820.1,Cyanobacteriota,0
NC_049820.1,Bacillota,0
NC_049820.1,Bacteroidota,0
NC_049820.1,Rhodothermota,0
NC_049820.1,Pseudomonadota,1
NC_049820.1,Bdellovibrionota,0
NC_049820.1,Deinococcota,0
NC_049820.1,Chlamydiota,0
NC_049820.1,Actinomycetota,0
NC_049820.1,Campylobacterota,0
NC_047771.1,Mycoplasmatota,0
NC_047771.1,Spirochaetota,0
NC_047771.1,Cyanobacteriota,0
NC_047771.1,Bacillota,0
NC_047771.1,Bacteroidota,0
NC_047771.1,Rhodothermota,0
NC_047771.1,Pseudomonadota,1
NC_047771.1,Bdellovibrionota,0
NC_047771.1,Deinococcota,0
NC_047771.1,Chlamydiota,0
NC_047771.1,Actinomycetota,0
NC_047771.1,Campylobacterota,0
NC_023709.1,Mycoplasmatota,0
NC_023709.1,Spirochaetota,0
NC_023709.1,Cyanobacteriota,0
NC_023709.1,Bacillota,0
NC_023709.1,Bacteroidota,0
NC_023709.1,Rhodothermota,0
NC_023709.1,Pseudomonadota,0
NC_023709.1,Bdellovibrionota,0
NC_023709.1,Deinococcota,0
NC_023709.1,Chlamydiota,0
NC_023709.1,Actinomycetota,1
NC_023709.1,Campylobacterota,0
NC_030944.1,Mycoplasmatota,0
NC_030944.1,Spirochaetota,0
NC_030944.1,Cyanobacteriota,0
NC_030944.1,Bacillota,0
NC_030944.1,Bacteroidota,0
NC_030944.1,Rhodothermota,0
NC_030944.1,Pseudomonadota,0
NC_030944.1,Bdellovibrionota,0
NC_030944.1,Deinococcota,0
NC_030944.1,Chlamydiota,0
NC_030944.1,Actinomycetota,1
NC_030944.1,Campylobacterota,0
NC_007810.1,Mycoplasmatota,0
NC_007810.1,Spirochaetota,0
NC_007810.1,Cyanobacteriota,0
NC_007810.1,Bacillota,0
NC_007810.1,Bacteroidota,0
NC_007810.1,Rhodothermota,0
NC_007810.1,Pseudomonadota,1
NC_007810.1,Bdellovibrionota,0
NC_007810.1,Deinococcota,0
NC_007810.1,Chlamydiota,0
NC_007810.1,Actinomycetota,0
NC_007810.1,Campylobacterota,0
NC_021779.1,Mycoplasmatota,0
NC_021779.1,Spirochaetota,0
NC_021779.1,Cyanobacteriota,0
NC_021779.1,Bacillota,0
NC_021779.1,Bacteroidota,0
NC_021779.1,Rhodothermota,0
NC_021779.1,Pseudomonadota,1
NC_021779.1,Bdellovibrionota,0
NC_021779.1,Deinococcota,0
NC_021779.1,Chlamydiota,0
NC_021779.1,Actinomycetota,0
NC_021779.1,Campylobacterota,0
NC_048798.1,Mycoplasmatota,0
NC_048798.1,Spirochaetota,0
NC_048798.1,Cyanobacteriota,0
NC_048798.1,Bacillota,0
NC_048798.1,Bacteroidota,0
NC_048798.1,Rhodothermota,0
NC_048798.1,Pseudomonadota,1
NC_048798.1,Bdellovibrionota,0
NC_048798.1,Deinococcota,0
NC_048798.1,Chlamydiota,0
NC_048798.1,Actinomycetota,0
NC_048798.1,Campylobacterota,0
NC_049454.1,Mycoplasmatota,0
NC_049454.1,Spirochaetota,0
NC_049454.1,Cyanobacteriota,0
NC_049454.1,Bacillota,0
NC_049454.1,Bacteroidota,0
NC_049454.1,Rhodothermota,0
NC_049454.1,Pseudomonadota,1
NC_049454.1,Bdellovibrionota,0
NC_049454.1,Deinococcota,0
NC_049454.1,Chlamydiota,0
NC_049454.1,Actinomycetota,0
NC_049454.1,Campylobacterota,0
NC_019521.1,Mycoplasmatota,0
NC_019521.1,Spirochaetota,0
NC_019521.1,Cyanobacteriota,0
NC_019521.1,Bacillota,0
NC_019521.1,Bacteroidota,0
NC_019521.1,Rhodothermota,0
NC_019521.1,Pseudomonadota,1
NC_019521.1,Bdellovibrionota,0
NC_019521.1,Deinococcota,0
NC_019521.1,Chlamydiota,0
NC_019521.1,Actinomycetota,0
NC_019521.1,Campylobacterota,0
NC_048711.1,Mycoplasmatota,0
NC_048711.1,Spirochaetota,0
NC_048711.1,Cyanobacteriota,0
NC_048711.1,Bacillota,1
NC_048711.1,Bacteroidota,0
NC_048711.1,Rhodothermota,0
NC_048711.1,Pseudomonadota,0
NC_048711.1,Bdellovibrionota,0
NC_048711.1,Deinococcota,0
NC_048711.1,Chlamydiota,0
NC_048711.1,Actinomycetota,0
NC_048711.1,Campylobacterota,0
NC_004813.1,Mycoplasmatota,0
NC_004813.1,Spirochaetota,0
NC_004813.1,Cyanobacteriota,0
NC_004813.1,Bacillota,0
NC_004813.1,Bacteroidota,0
NC_004813.1,Rhodothermota,0
NC_004813.1,Pseudomonadota,1
NC_004813.1,Bdellovibrionota,0
NC_004813.1,Deinococcota,0
NC_004813.1,Chlamydiota,0
NC_004813.1,Actinomycetota,0
NC_004813.1,Campylobacterota,0
NC_055798.1,Mycoplasmatota,0
NC_055798.1,Spirochaetota,0
NC_055798.1,Cyanobacteriota,0
NC_055798.1,Bacillota,0
NC_055798.1,Bacteroidota,0
NC_055798.1,Rhodothermota,0
NC_055798.1,Pseudomonadota,0
NC_055798.1,Bdellovibrionota,0
NC_055798.1,Deinococcota,0
NC_055798.1,Chlamydiota,0
NC_055798.1,Actinomycetota,1
NC_055798.1,Campylobacterota,0
NC_055026.1,Mycoplasmatota,0
NC_055026.1,Spirochaetota,0
NC_055026.1,Cyanobacteriota,0
NC_055026.1,Bacillota,0
NC_055026.1,Bacteroidota,0
NC_055026.1,Rhodothermota,0
NC_055026.1,Pseudomonadota,1
NC_055026.1,Bdellovibrionota,0
NC_055026.1,Deinococcota,0
NC_055026.1,Chlamydiota,0
NC_055026.1,Actinomycetota,0
NC_055026.1,Campylobacterota,0
NC_002072.2,Mycoplasmatota,0
NC_002072.2,Spirochaetota,0
NC_002072.2,Cyanobacteriota,0
NC_002072.2,Bacillota,1
NC_002072.2,Bacteroidota,0
NC_002072.2,Rhodothermota,0
NC_002072.2,Pseudomonadota,0
NC_002072.2,Bdellovibrionota,0
NC_002072.2,Deinococcota,0
NC_002072.2,Chlamydiota,0
NC_002072.2,Actinomycetota,0
NC_002072.2,Campylobacterota,0
NC_025459.1,Mycoplasmatota,0
NC_025459.1,Spirochaetota,0
NC_025459.1,Cyanobacteriota,0
NC_025459.1,Bacillota,0
NC_025459.1,Bacteroidota,0
NC_025459.1,Rhodothermota,0
NC_025459.1,Pseudomonadota,1
NC_025459.1,Bdellovibrionota,0
NC_025459.1,Deinococcota,0
NC_025459.1,Chlamydiota,0
NC_025459.1,Actinomycetota,0
NC_025459.1,Campylobacterota,0
NC_051645.1,Mycoplasmatota,0
NC_051645.1,Spirochaetota,0
NC_051645.1,Cyanobacteriota,0
NC_051645.1,Bacillota,0
NC_051645.1,Bacteroidota,0
NC_051645.1,Rhodothermota,0
NC_051645.1,Pseudomonadota,0
NC_051645.1,Bdellovibrionota,0
NC_051645.1,Deinococcota,0
NC_051645.1,Chlamydiota,0
NC_051645.1,Actinomycetota,1
NC_051645.1,Campylobacterota,0
NC_041904.1,Mycoplasmatota,0
NC_041904.1,Spirochaetota,0
NC_041904.1,Cyanobacteriota,0
NC_041904.1,Bacillota,0
NC_041904.1,Bacteroidota,0
NC_041904.1,Rhodothermota,0
NC_041904.1,Pseudomonadota,1
NC_041904.1,Bdellovibrionota,0
NC_041904.1,Deinococcota,0
NC_041904.1,Chlamydiota,0
NC_041904.1,Actinomycetota,0
NC_041904.1,Campylobacterota,0
NC_016562.1,Mycoplasmatota,0
NC_016562.1,Spirochaetota,0
NC_016562.1,Cyanobacteriota,0
NC_016562.1,Bacillota,0
NC_016562.1,Bacteroidota,0
NC_016562.1,Rhodothermota,0
NC_016562.1,Pseudomonadota,0
NC_016562.1,Bdellovibrionota,0
NC_016562.1,Deinococcota,0
NC_016562.1,Chlamydiota,0
NC_016562.1,Actinomycetota,0
NC_016562.1,Campylobacterota,1
NC_054891.1,Mycoplasmatota,0
NC_054891.1,Spirochaetota,0
NC_054891.1,Cyanobacteriota,0
NC_054891.1,Bacillota,0
NC_054891.1,Bacteroidota,0
NC_054891.1,Rhodothermota,0
NC_054891.1,Pseudomonadota,1
NC_054891.1,Bdellovibrionota,0
NC_054891.1,Deinococcota,0
NC_054891.1,Chlamydiota,0
NC_054891.1,Actinomycetota,0
NC_054891.1,Campylobacterota,0
NC_049486.1,Mycoplasmatota,0
NC_049486.1,Spirochaetota,0
NC_049486.1,Cyanobacteriota,0
NC_049486.1,Bacillota,1
NC_049486.1,Bacteroidota,0
NC_049486.1,Rhodothermota,0
NC_049486.1,Pseudomonadota,0
NC_049486.1,Bdellovibrionota,0
NC_049486.1,Deinococcota,0
NC_049486.1,Chlamydiota,0
NC_049486.1,Actinomycetota,0
NC_049486.1,Campylobacterota,0
NC_014461.1,Mycoplasmatota,0
NC_014461.1,Spirochaetota,0
NC_014461.1,Cyanobacteriota,0
NC_014461.1,Bacillota,0
NC_014461.1,Bacteroidota,0
NC_014461.1,Rhodothermota,0
NC_014461.1,Pseudomonadota,0
NC_014461.1,Bdellovibrionota,0
NC_014461.1,Deinococcota,0
NC_014461.1,Chlamydiota,0
NC_014461.1,Actinomycetota,1
NC_014461.1,Campylobacterota,0
NC_052444.1,Mycoplasmatota,0
NC_052444.1,Spirochaetota,0
NC_052444.1,Cyanobacteriota,0
NC_052444.1,Bacillota,0
NC_052444.1,Bacteroidota,0
NC_052444.1,Rhodothermota,0
NC_052444.1,Pseudomonadota,0
NC_052444.1,Bdellovibrionota,0
NC_052444.1,Deinococcota,0
NC_052444.1,Chlamydiota,0
NC_052444.1,Actinomycetota,1
NC_052444.1,Campylobacterota,0
NC_047941.1,Mycoplasmatota,0
NC_047941.1,Spirochaetota,0
NC_047941.1,Cyanobacteriota,0
NC_047941.1,Bacillota,0
NC_047941.1,Bacteroidota,0
NC_047941.1,Rhodothermota,0
NC_047941.1,Pseudomonadota,1
NC_047941.1,Bdellovibrionota,0
NC_047941.1,Deinococcota,0
NC_047941.1,Chlamydiota,0
NC_047941.1,Actinomycetota,0
NC_047941.1,Campylobacterota,0
NC_011287.1,Mycoplasmatota,0
NC_011287.1,Spirochaetota,0
NC_011287.1,Cyanobacteriota,0
NC_011287.1,Bacillota,0
NC_011287.1,Bacteroidota,0
NC_011287.1,Rhodothermota,0
NC_011287.1,Pseudomonadota,0
NC_011287.1,Bdellovibrionota,0
NC_011287.1,Deinococcota,0
NC_011287.1,Chlamydiota,0
NC_011287.1,Actinomycetota,1
NC_011287.1,Campylobacterota,0
NC_003216.1,Mycoplasmatota,0
NC_003216.1,Spirochaetota,0
NC_003216.1,Cyanobacteriota,0
NC_003216.1,Bacillota,1
NC_003216.1,Bacteroidota,0
NC_003216.1,Rhodothermota,0
NC_003216.1,Pseudomonadota,0
NC_003216.1,Bdellovibrionota,0
NC_003216.1,Deinococcota,0
NC_003216.1,Chlamydiota,0
NC_003216.1,Actinomycetota,0
NC_003216.1,Campylobacterota,0
NC_042043.1,Mycoplasmatota,0
NC_042043.1,Spirochaetota,0
NC_042043.1,Cyanobacteriota,0
NC_042043.1,Bacillota,0
NC_042043.1,Bacteroidota,0
NC_042043.1,Rhodothermota,0
NC_042043.1,Pseudomonadota,1
NC_042043.1,Bdellovibrionota,0
NC_042043.1,Deinococcota,0
NC_042043.1,Chlamydiota,0
NC_042043.1,Actinomycetota,0
NC_042043.1,Campylobacterota,0
NC_054638.1,Mycoplasmatota,0
NC_054638.1,Spirochaetota,0
NC_054638.1,Cyanobacteriota,0
NC_054638.1,Bacillota,0
NC_054638.1,Bacteroidota,0
NC_054638.1,Rhodothermota,0
NC_054638.1,Pseudomonadota,1
NC_054638.1,Bdellovibrionota,0
NC_054638.1,Deinococcota,0
NC_054638.1,Chlamydiota,0
NC_054638.1,Actinomycetota,0
NC_054638.1,Campylobacterota,0
NC_042118.1,Mycoplasmatota,0
NC_042118.1,Spirochaetota,0
NC_042118.1,Cyanobacteriota,0
NC_042118.1,Bacillota,0
NC_042118.1,Bacteroidota,0
NC_042118.1,Rhodothermota,0
NC_042118.1,Pseudomonadota,0
NC_042118.1,Bdellovibrionota,0
NC_042118.1,Deinococcota,0
NC_042118.1,Chlamydiota,0
NC_042118.1,Actinomycetota,1
NC_042118.1,Campylobacterota,0
NC_048162.1,Mycoplasmatota,0
NC_048162.1,Spirochaetota,0
NC_048162.1,Cyanobacteriota,0
NC_048162.1,Bacillota,0
NC_048162.1,Bacteroidota,0
NC_048162.1,Rhodothermota,0
NC_048162.1,Pseudomonadota,1
NC_048162.1,Bdellovibrionota,0
NC_048162.1,Deinococcota,0
NC_048162.1,Chlamydiota,0
NC_048162.1,Actinomycetota,0
NC_048162.1,Campylobacterota,0
NC_054806.1,Mycoplasmatota,0
NC_054806.1,Spirochaetota,0
NC_054806.1,Cyanobacteriota,0
NC_054806.1,Bacillota,0
NC_054806.1,Bacteroidota,0
NC_054806.1,Rhodothermota,0
NC_054806.1,Pseudomonadota,0
NC_054806.1,Bdellovibrionota,0
NC_054806.1,Deinococcota,0
NC_054806.1,Chlamydiota,0
NC_054806.1,Actinomycetota,1
NC_054806.1,Campylobacterota,0
NC_027362.1,Mycoplasmatota,0
NC_027362.1,Spirochaetota,0
NC_027362.1,Cyanobacteriota,0
NC_027362.1,Bacillota,0
NC_027362.1,Bacteroidota,0
NC_027362.1,Rhodothermota,0
NC_027362.1,Pseudomonadota,0
NC_027362.1,Bdellovibrionota,0
NC_027362.1,Deinococcota,0
NC_027362.1,Chlamydiota,0
NC_027362.1,Actinomycetota,1
NC_027362.1,Campylobacterota,0
NC_029030.1,Mycoplasmatota,0
NC_029030.1,Spirochaetota,0
NC_029030.1,Cyanobacteriota,0
NC_029030.1,Bacillota,1
NC_029030.1,Bacteroidota,0
NC_029030.1,Rhodothermota,0
NC_029030.1,Pseudomonadota,0
NC_029030.1,Bdellovibrionota,0
NC_029030.1,Deinococcota,0
NC_029030.1,Chlamydiota,0
NC_029030.1,Actinomycetota,0
NC_029030.1,Campylobacterota,0
NC_048155.1,Mycoplasmatota,0
NC_048155.1,Spirochaetota,0
NC_048155.1,Cyanobacteriota,0
NC_048155.1,Bacillota,0
NC_048155.1,Bacteroidota,0
NC_048155.1,Rhodothermota,0
NC_048155.1,Pseudomonadota,0
NC_048155.1,Bdellovibrionota,0
NC_048155.1,Deinococcota,0
NC_048155.1,Chlamydiota,0
NC_048155.1,Actinomycetota,1
NC_048155.1,Campylobacterota,0
NC_048107.1,Mycoplasmatota,0
NC_048107.1,Spirochaetota,0
NC_048107.1,Cyanobacteriota,0
NC_048107.1,Bacillota,1
NC_048107.1,Bacteroidota,0
NC_048107.1,Rhodothermota,0
NC_048107.1,Pseudomonadota,0
NC_048107.1,Bdellovibrionota,0
NC_048107.1,Deinococcota,0
NC_048107.1,Chlamydiota,0
NC_048107.1,Actinomycetota,0
NC_048107.1,Campylobacterota,0
NC_054975.1,Mycoplasmatota,0
NC_054975.1,Spirochaetota,0
NC_054975.1,Cyanobacteriota,0
NC_054975.1,Bacillota,1
NC_054975.1,Bacteroidota,0
NC_054975.1,Rhodothermota,0
NC_054975.1,Pseudomonadota,0
NC_054975.1,Bdellovibrionota,0
NC_054975.1,Deinococcota,0
NC_054975.1,Chlamydiota,0
NC_054975.1,Actinomycetota,0
NC_054975.1,Campylobacterota,0
NC_024135.1,Mycoplasmatota,0
NC_024135.1,Spirochaetota,0
NC_024135.1,Cyanobacteriota,0
NC_024135.1,Bacillota,0
NC_024135.1,Bacteroidota,0
NC_024135.1,Rhodothermota,0
NC_024135.1,Pseudomonadota,0
NC_024135.1,Bdellovibrionota,0
NC_024135.1,Deinococcota,0
NC_024135.1,Chlamydiota,0
NC_024135.1,Actinomycetota,1
NC_024135.1,Campylobacterota,0
NC_041909.1,Mycoplasmatota,0
NC_041909.1,Spirochaetota,0
NC_041909.1,Cyanobacteriota,0
NC_041909.1,Bacillota,1
NC_041909.1,Bacteroidota,0
NC_041909.1,Rhodothermota,0
NC_041909.1,Pseudomonadota,0
NC_041909.1,Bdellovibrionota,0
NC_041909.1,Deinococcota,0
NC_041909.1,Chlamydiota,0
NC_041909.1,Actinomycetota,0
NC_041909.1,Campylobacterota,0
NC_041936.1,Mycoplasmatota,0
NC_041936.1,Spirochaetota,0
NC_041936.1,Cyanobacteriota,0
NC_041936.1,Bacillota,0
NC_041936.1,Bacteroidota,0
NC_041936.1,Rhodothermota,0
NC_041936.1,Pseudomonadota,1
NC_041936.1,Bdellovibrionota,0
NC_041936.1,Deinococcota,0
NC_041936.1,Chlamydiota,0
NC_041936.1,Actinomycetota,0
NC_041936.1,Campylobacterota,0
NC_048664.1,Mycoplasmatota,0
NC_048664.1,Spirochaetota,0
NC_048664.1,Cyanobacteriota,0
NC_048664.1,Bacillota,0
NC_048664.1,Bacteroidota,0
NC_048664.1,Rhodothermota,0
NC_048664.1,Pseudomonadota,1
NC_048664.1,Bdellovibrionota,0
NC_048664.1,Deinococcota,0
NC_048664.1,Chlamydiota,0
NC_048664.1,Actinomycetota,0
NC_048664.1,Campylobacterota,0
NC_021780.1,Mycoplasmatota,0
NC_021780.1,Spirochaetota,0
NC_021780.1,Cyanobacteriota,0
NC_021780.1,Bacillota,0
NC_021780.1,Bacteroidota,0
NC_021780.1,Rhodothermota,0
NC_021780.1,Pseudomonadota,1
NC_021780.1,Bdellovibrionota,0
NC_021780.1,Deinococcota,0
NC_021780.1,Chlamydiota,0
NC_021780.1,Actinomycetota,0
NC_021780.1,Campylobacterota,0
NC_029048.2,Mycoplasmatota,0
NC_029048.2,Spirochaetota,0
NC_029048.2,Cyanobacteriota,0
NC_029048.2,Bacillota,1
NC_029048.2,Bacteroidota,0
NC_029048.2,Rhodothermota,0
