phage,ord,scoreord
NC_027985.1,Bacteroidales,0
NC_027985.1,Pasteurellales,0
NC_027985.1,Bifidobacteriales,0
NC_027985.1,Candidatus Pelagibacterales,0
NC_027985.1,Caulobacterales,0
NC_027985.1,Alteromonadales,0
NC_027985.1,Bacillales,0
NC_027985.1,Oscillatoriales,0
NC_027985.1,Micrococcales,0
NC_027985.1,Rhodothermales,0
NC_027985.1,Rhodobacterales,0
NC_027985.1,Vibrionales,0
NC_027985.1,Thermales,0
NC_027985.1,Moraxellales,0
NC_027985.1,Burkholderiales,0
NC_027985.1,Lactobacillales,0
NC_027985.1,Flavobacteriales,0
NC_048748.1,Mycobacteriales,0
NC_048748.1,Thermoanaerobacterales,0
NC_048748.1,Enterobacterales,1
NC_048748.1,Mycoplasmatales,0
NC_048748.1,Campylobacterales,0
NC_048748.1,Sphingomonadales,0
NC_048748.1,Entomoplasmatales,0
NC_048748.1,Kitasatosporales,0
NC_048748.1,Hyphomicrobiales,0
NC_048748.1,Synechococcales,0
NC_048748.1,Leptospirales,0
NC_048748.1,Bdellovibrionales,0
NC_048748.1,Pseudomonadales,0
NC_048748.1,Nostocales,0
NC_048748.1,Chlamydiales,0
NC_048748.1,Actinomycetales,0
NC_048748.1,Propionibacteriales,0
NC_048748.1,Aeromonadales,0
NC_048748.1,Eubacteriales,0
NC_048748.1,Xanthomonadales,0
NC_048748.1,Bacteroidales,0
NC_048748.1,Pasteurellales,0
NC_048748.1,Bifidobacteriales,0
NC_048748.1,Candidatus Pelagibacterales,0
NC_048748.1,Caulobacterales,0
NC_048748.1,Alteromonadales,0
NC_048748.1,Bacillales,0
NC_048748.1,Oscillatoriales,0
NC_048748.1,Micrococcales,0
NC_048748.1,Rhodothermales,0
NC_048748.1,Rhodobacterales,0
NC_048748.1,Vibrionales,0
NC_048748.1,Thermales,0
NC_048748.1,Moraxellales,0
NC_048748.1,Burkholderiales,0
NC_048748.1,Lactobacillales,0
NC_048748.1,Flavobacteriales,0
NC_028828.1,Mycobacteriales,1
NC_028828.1,Thermoanaerobacterales,0
NC_028828.1,Enterobacterales,0
NC_028828.1,Mycoplasmatales,0
NC_028828.1,Campylobacterales,0
NC_028828.1,Sphingomonadales,0
NC_028828.1,Entomoplasmatales,0
NC_028828.1,Kitasatosporales,0
NC_028828.1,Hyphomicrobiales,0
NC_028828.1,Synechococcales,0
NC_028828.1,Leptospirales,0
NC_028828.1,Bdellovibrionales,0
NC_028828.1,Pseudomonadales,0
NC_028828.1,Nostocales,0
NC_028828.1,Chlamydiales,0
NC_028828.1,Actinomycetales,0
NC_028828.1,Propionibacteriales,0
NC_028828.1,Aeromonadales,0
NC_028828.1,Eubacteriales,0
NC_028828.1,Xanthomonadales,0
NC_028828.1,Bacteroidales,0
NC_028828.1,Pasteurellales,0
NC_028828.1,Bifidobacteriales,0
NC_028828.1,Candidatus Pelagibacterales,0
NC_028828.1,Caulobacterales,0
NC_028828.1,Alteromonadales,0
NC_028828.1,Bacillales,0
NC_028828.1,Oscillatoriales,0
NC_028828.1,Micrococcales,0
NC_028828.1,Rhodothermales,0
NC_028828.1,Rhodobacterales,0
NC_028828.1,Vibrionales,0
NC_028828.1,Thermales,0
NC_028828.1,Moraxellales,0
NC_028828.1,Burkholderiales,0
NC_028828.1,Lactobacillales,0
NC_028828.1,Flavobacteriales,0
NC_027341.1,Mycobacteriales,0
NC_027341.1,Thermoanaerobacterales,0
NC_027341.1,Enterobacterales,0
NC_027341.1,Mycoplasmatales,0
NC_027341.1,Campylobacterales,0
NC_027341.1,Sphingomonadales,0
NC_027341.1,Entomoplasmatales,0
NC_027341.1,Kitasatosporales,0
NC_027341.1,Hyphomicrobiales,0
NC_027341.1,Synechococcales,0
NC_027341.1,Leptospirales,0
NC_027341.1,Bdellovibrionales,0
NC_027341.1,Pseudomonadales,0
NC_027341.1,Nostocales,0
NC_027341.1,Chlamydiales,0
NC_027341.1,Actinomycetales,0
NC_027341.1,Propionibacteriales,0
NC_027341.1,Aeromonadales,0
NC_027341.1,Eubacteriales,0
NC_027341.1,Xanthomonadales,0
NC_027341.1,Bacteroidales,0
NC_027341.1,Pasteurellales,0
NC_027341.1,Bifidobacteriales,0
NC_027341.1,Candidatus Pelagibacterales,0
NC_027341.1,Caulobacterales,0
NC_027341.1,Alteromonadales,0
NC_027341.1,Bacillales,0
NC_027341.1,Oscillatoriales,0
NC_027341.1,Micrococcales,0
NC_027341.1,Rhodothermales,0
NC_027341.1,Rhodobacterales,0
NC_027341.1,Vibrionales,0
NC_027341.1,Thermales,0
NC_027341.1,Moraxellales,0
NC_027341.1,Burkholderiales,0
NC_027341.1,Lactobacillales,1
NC_027341.1,Flavobacteriales,0
NC_024387.1,Mycobacteriales,0
NC_024387.1,Thermoanaerobacterales,0
NC_024387.1,Enterobacterales,0
NC_024387.1,Mycoplasmatales,0
NC_024387.1,Campylobacterales,0
NC_024387.1,Sphingomonadales,0
NC_024387.1,Entomoplasmatales,0
NC_024387.1,Kitasatosporales,0
NC_024387.1,Hyphomicrobiales,0
NC_024387.1,Synechococcales,0
NC_024387.1,Leptospirales,0
NC_024387.1,Bdellovibrionales,0
NC_024387.1,Pseudomonadales,0
NC_024387.1,Nostocales,0
NC_024387.1,Chlamydiales,0
NC_024387.1,Actinomycetales,0
NC_024387.1,Propionibacteriales,0
NC_024387.1,Aeromonadales,0
NC_024387.1,Eubacteriales,0
NC_024387.1,Xanthomonadales,0
NC_024387.1,Bacteroidales,0
NC_024387.1,Pasteurellales,0
NC_024387.1,Bifidobacteriales,0
NC_024387.1,Candidatus Pelagibacterales,0
NC_024387.1,Caulobacterales,0
NC_024387.1,Alteromonadales,0
NC_024387.1,Bacillales,1
NC_024387.1,Oscillatoriales,0
NC_024387.1,Micrococcales,0
NC_024387.1,Rhodothermales,0
NC_024387.1,Rhodobacterales,0
NC_024387.1,Vibrionales,0
NC_024387.1,Thermales,0
NC_024387.1,Moraxellales,0
NC_024387.1,Burkholderiales,0
NC_024387.1,Lactobacillales,0
NC_024387.1,Flavobacteriales,0
NC_029004.1,Mycobacteriales,0
NC_029004.1,Thermoanaerobacterales,0
NC_029004.1,Enterobacterales,0
NC_029004.1,Mycoplasmatales,0
NC_029004.1,Campylobacterales,0
NC_029004.1,Sphingomonadales,0
NC_029004.1,Entomoplasmatales,0
NC_029004.1,Kitasatosporales,0
NC_029004.1,Hyphomicrobiales,0
NC_029004.1,Synechococcales,0
NC_029004.1,Leptospirales,0
NC_029004.1,Bdellovibrionales,0
NC_029004.1,Pseudomonadales,0
NC_029004.1,Nostocales,0
NC_029004.1,Chlamydiales,0
NC_029004.1,Actinomycetales,0
NC_029004.1,Propionibacteriales,0
NC_029004.1,Aeromonadales,0
NC_029004.1,Eubacteriales,1
NC_029004.1,Xanthomonadales,0
NC_029004.1,Bacteroidales,0
NC_029004.1,Pasteurellales,0
NC_029004.1,Bifidobacteriales,0
NC_029004.1,Candidatus Pelagibacterales,0
NC_029004.1,Caulobacterales,0
NC_029004.1,Alteromonadales,0
NC_029004.1,Bacillales,0
NC_029004.1,Oscillatoriales,0
NC_029004.1,Micrococcales,0
NC_029004.1,Rhodothermales,0
NC_029004.1,Rhodobacterales,0
NC_029004.1,Vibrionales,0
NC_029004.1,Thermales,0
NC_029004.1,Moraxellales,0
NC_029004.1,Burkholderiales,0
NC_029004.1,Lactobacillales,0
NC_029004.1,Flavobacteriales,0
NC_019510.1,Mycobacteriales,0
NC_019510.1,Thermoanaerobacterales,0
NC_019510.1,Enterobacterales,1
NC_019510.1,Mycoplasmatales,0
NC_019510.1,Campylobacterales,0
NC_019510.1,Sphingomonadales,0
NC_019510.1,Entomoplasmatales,0
NC_019510.1,Kitasatosporales,0
NC_019510.1,Hyphomicrobiales,0
NC_019510.1,Synechococcales,0
NC_019510.1,Leptospirales,0
NC_019510.1,Bdellovibrionales,0
NC_019510.1,Pseudomonadales,0
NC_019510.1,Nostocales,0
NC_019510.1,Chlamydiales,0
NC_019510.1,Actinomycetales,0
NC_019510.1,Propionibacteriales,0
NC_019510.1,Aeromonadales,0
NC_019510.1,Eubacteriales,0
NC_019510.1,Xanthomonadales,0
NC_019510.1,Bacteroidales,0
NC_019510.1,Pasteurellales,0
NC_019510.1,Bifidobacteriales,0
NC_019510.1,Candidatus Pelagibacterales,0
NC_019510.1,Caulobacterales,0
NC_019510.1,Alteromonadales,0
NC_019510.1,Bacillales,0
NC_019510.1,Oscillatoriales,0
NC_019510.1,Micrococcales,0
NC_019510.1,Rhodothermales,0
NC_019510.1,Rhodobacterales,0
NC_019510.1,Vibrionales,0
NC_019510.1,Thermales,0
NC_019510.1,Moraxellales,0
NC_019510.1,Burkholderiales,0
NC_019510.1,Lactobacillales,0
NC_019510.1,Flavobacteriales,0
NC_053240.1,Mycobacteriales,1
NC_053240.1,Thermoanaerobacterales,0
NC_053240.1,Enterobacterales,0
NC_053240.1,Mycoplasmatales,0
NC_053240.1,Campylobacterales,0
NC_053240.1,Sphingomonadales,0
NC_053240.1,Entomoplasmatales,0
NC_053240.1,Kitasatosporales,0
NC_053240.1,Hyphomicrobiales,0
NC_053240.1,Synechococcales,0
NC_053240.1,Leptospirales,0
NC_053240.1,Bdellovibrionales,0
NC_053240.1,Pseudomonadales,0
NC_053240.1,Nostocales,0
NC_053240.1,Chlamydiales,0
NC_053240.1,Actinomycetales,0
NC_053240.1,Propionibacteriales,0
NC_053240.1,Aeromonadales,0
NC_053240.1,Eubacteriales,0
NC_053240.1,Xanthomonadales,0
NC_053240.1,Bacteroidales,0
NC_053240.1,Pasteurellales,0
NC_053240.1,Bifidobacteriales,0
NC_053240.1,Candidatus Pelagibacterales,0
NC_053240.1,Caulobacterales,0
NC_053240.1,Alteromonadales,0
NC_053240.1,Bacillales,0
NC_053240.1,Oscillatoriales,0
NC_053240.1,Micrococcales,0
NC_053240.1,Rhodothermales,0
NC_053240.1,Rhodobacterales,0
NC_053240.1,Vibrionales,0
NC_053240.1,Thermales,0
NC_053240.1,Moraxellales,0
NC_053240.1,Burkholderiales,0
NC_053240.1,Lactobacillales,0
NC_053240.1,Flavobacteriales,0
NC_048726.1,Mycobacteriales,0
NC_048726.1,Thermoanaerobacterales,0
NC_048726.1,Enterobacterales,0
NC_048726.1,Mycoplasmatales,0
NC_048726.1,Campylobacterales,0
NC_048726.1,Sphingomonadales,0
NC_048726.1,Entomoplasmatales,0
NC_048726.1,Kitasatosporales,0
NC_048726.1,Hyphomicrobiales,0
NC_048726.1,Synechococcales,0
NC_048726.1,Leptospirales,0
NC_048726.1,Bdellovibrionales,0
NC_048726.1,Pseudomonadales,0
NC_048726.1,Nostocales,0
NC_048726.1,Chlamydiales,0
NC_048726.1,Actinomycetales,0
NC_048726.1,Propionibacteriales,0
NC_048726.1,Aeromonadales,0
NC_048726.1,Eubacteriales,0
NC_048726.1,Xanthomonadales,0
NC_048726.1,Bacteroidales,0
NC_048726.1,Pasteurellales,0
NC_048726.1,Bifidobacteriales,0
NC_048726.1,Candidatus Pelagibacterales,0
NC_048726.1,Caulobacterales,0
NC_048726.1,Alteromonadales,0
NC_048726.1,Bacillales,1
NC_048726.1,Oscillatoriales,0
NC_048726.1,Micrococcales,0
NC_048726.1,Rhodothermales,0
NC_048726.1,Rhodobacterales,0
NC_048726.1,Vibrionales,0
NC_048726.1,Thermales,0
NC_048726.1,Moraxellales,0
NC_048726.1,Burkholderiales,0
NC_048726.1,Lactobacillales,0
NC_048726.1,Flavobacteriales,0
NC_041969.1,Mycobacteriales,1
NC_041969.1,Thermoanaerobacterales,0
NC_041969.1,Enterobacterales,0
NC_041969.1,Mycoplasmatales,0
NC_041969.1,Campylobacterales,0
NC_041969.1,Sphingomonadales,0
NC_041969.1,Entomoplasmatales,0
NC_041969.1,Kitasatosporales,0
NC_041969.1,Hyphomicrobiales,0
NC_041969.1,Synechococcales,0
NC_041969.1,Leptospirales,0
NC_041969.1,Bdellovibrionales,0
NC_041969.1,Pseudomonadales,0
NC_041969.1,Nostocales,0
NC_041969.1,Chlamydiales,0
NC_041969.1,Actinomycetales,0
NC_041969.1,Propionibacteriales,0
NC_041969.1,Aeromonadales,0
NC_041969.1,Eubacteriales,0
NC_041969.1,Xanthomonadales,0
NC_041969.1,Bacteroidales,0
NC_041969.1,Pasteurellales,0
NC_041969.1,Bifidobacteriales,0
NC_041969.1,Candidatus Pelagibacterales,0
NC_041969.1,Caulobacterales,0
NC_041969.1,Alteromonadales,0
NC_041969.1,Bacillales,0
NC_041969.1,Oscillatoriales,0
NC_041969.1,Micrococcales,0
NC_041969.1,Rhodothermales,0
NC_041969.1,Rhodobacterales,0
NC_041969.1,Vibrionales,0
NC_041969.1,Thermales,0
NC_041969.1,Moraxellales,0
NC_041969.1,Burkholderiales,0
NC_041969.1,Lactobacillales,0
NC_041969.1,Flavobacteriales,0
NC_022088.2,Mycobacteriales,0
NC_022088.2,Thermoanaerobacterales,0
NC_022088.2,Enterobacterales,0
NC_022088.2,Mycoplasmatales,0
NC_022088.2,Campylobacterales,0
NC_022088.2,Sphingomonadales,0
NC_022088.2,Entomoplasmatales,0
NC_022088.2,Kitasatosporales,0
NC_022088.2,Hyphomicrobiales,0
NC_022088.2,Synechococcales,0
NC_022088.2,Leptospirales,0
NC_022088.2,Bdellovibrionales,0
NC_022088.2,Pseudomonadales,0
NC_022088.2,Nostocales,0
NC_022088.2,Chlamydiales,0
NC_022088.2,Actinomycetales,0
NC_022088.2,Propionibacteriales,0
NC_022088.2,Aeromonadales,0
NC_022088.2,Eubacteriales,0
NC_022088.2,Xanthomonadales,0
NC_022088.2,Bacteroidales,0
NC_022088.2,Pasteurellales,0
NC_022088.2,Bifidobacteriales,0
NC_022088.2,Candidatus Pelagibacterales,0
NC_022088.2,Caulobacterales,0
NC_022088.2,Alteromonadales,0
NC_022088.2,Bacillales,1
NC_022088.2,Oscillatoriales,0
NC_022088.2,Micrococcales,0
NC_022088.2,Rhodothermales,0
NC_022088.2,Rhodobacterales,0
NC_022088.2,Vibrionales,0
NC_022088.2,Thermales,0
NC_022088.2,Moraxellales,0
NC_022088.2,Burkholderiales,0
NC_022088.2,Lactobacillales,0
NC_022088.2,Flavobacteriales,0
NC_048145.1,Mycobacteriales,0
NC_048145.1,Thermoanaerobacterales,0
NC_048145.1,Enterobacterales,1
NC_048145.1,Mycoplasmatales,0
NC_048145.1,Campylobacterales,0
NC_048145.1,Sphingomonadales,0
NC_048145.1,Entomoplasmatales,0
NC_048145.1,Kitasatosporales,0
NC_048145.1,Hyphomicrobiales,0
NC_048145.1,Synechococcales,0
NC_048145.1,Leptospirales,0
NC_048145.1,Bdellovibrionales,0
NC_048145.1,Pseudomonadales,0
NC_048145.1,Nostocales,0
NC_048145.1,Chlamydiales,0
NC_048145.1,Actinomycetales,0
NC_048145.1,Propionibacteriales,0
NC_048145.1,Aeromonadales,0
NC_048145.1,Eubacteriales,0
NC_048145.1,Xanthomonadales,0
NC_048145.1,Bacteroidales,0
NC_048145.1,Pasteurellales,0
NC_048145.1,Bifidobacteriales,0
NC_048145.1,Candidatus Pelagibacterales,0
NC_048145.1,Caulobacterales,0
NC_048145.1,Alteromonadales,0
NC_048145.1,Bacillales,0
NC_048145.1,Oscillatoriales,0
NC_048145.1,Micrococcales,0
NC_048145.1,Rhodothermales,0
NC_048145.1,Rhodobacterales,0
NC_048145.1,Vibrionales,0
NC_048145.1,Thermales,0
NC_048145.1,Moraxellales,0
NC_048145.1,Burkholderiales,0
NC_048145.1,Lactobacillales,0
NC_048145.1,Flavobacteriales,0
NC_042106.1,Mycobacteriales,0
NC_042106.1,Thermoanaerobacterales,0
NC_042106.1,Enterobacterales,0
NC_042106.1,Mycoplasmatales,0
NC_042106.1,Campylobacterales,0
NC_042106.1,Sphingomonadales,0
NC_042106.1,Entomoplasmatales,0
NC_042106.1,Kitasatosporales,1
NC_042106.1,Hyphomicrobiales,0
NC_042106.1,Synechococcales,0
NC_042106.1,Leptospirales,0
NC_042106.1,Bdellovibrionales,0
NC_042106.1,Pseudomonadales,0
NC_042106.1,Nostocales,0
NC_042106.1,Chlamydiales,0
NC_042106.1,Actinomycetales,0
NC_042106.1,Propionibacteriales,0
NC_042106.1,Aeromonadales,0
NC_042106.1,Eubacteriales,0
NC_042106.1,Xanthomonadales,0
NC_042106.1,Bacteroidales,0
NC_042106.1,Pasteurellales,0
NC_042106.1,Bifidobacteriales,0
NC_042106.1,Candidatus Pelagibacterales,0
NC_042106.1,Caulobacterales,0
NC_042106.1,Alteromonadales,0
NC_042106.1,Bacillales,0
NC_042106.1,Oscillatoriales,0
NC_042106.1,Micrococcales,0
NC_042106.1,Rhodothermales,0
NC_042106.1,Rhodobacterales,0
NC_042106.1,Vibrionales,0
NC_042106.1,Thermales,0
NC_042106.1,Moraxellales,0
NC_042106.1,Burkholderiales,0
NC_042106.1,Lactobacillales,0
NC_042106.1,Flavobacteriales,0
NC_055778.1,Mycobacteriales,1
NC_055778.1,Thermoanaerobacterales,0
NC_055778.1,Enterobacterales,0
NC_055778.1,Mycoplasmatales,0
NC_055778.1,Campylobacterales,0
NC_055778.1,Sphingomonadales,0
NC_055778.1,Entomoplasmatales,0
NC_055778.1,Kitasatosporales,0
NC_055778.1,Hyphomicrobiales,0
NC_055778.1,Synechococcales,0
NC_055778.1,Leptospirales,0
NC_055778.1,Bdellovibrionales,0
NC_055778.1,Pseudomonadales,0
NC_055778.1,Nostocales,0
NC_055778.1,Chlamydiales,0
NC_055778.1,Actinomycetales,0
NC_055778.1,Propionibacteriales,0
NC_055778.1,Aeromonadales,0
NC_055778.1,Eubacteriales,0
NC_055778.1,Xanthomonadales,0
NC_055778.1,Bacteroidales,0
NC_055778.1,Pasteurellales,0
NC_055778.1,Bifidobacteriales,0
NC_055778.1,Candidatus Pelagibacterales,0
NC_055778.1,Caulobacterales,0
NC_055778.1,Alteromonadales,0
NC_055778.1,Bacillales,0
NC_055778.1,Oscillatoriales,0
NC_055778.1,Micrococcales,0
NC_055778.1,Rhodothermales,0
NC_055778.1,Rhodobacterales,0
NC_055778.1,Vibrionales,0
NC_055778.1,Thermales,0
NC_055778.1,Moraxellales,0
NC_055778.1,Burkholderiales,0
NC_055778.1,Lactobacillales,0
NC_055778.1,Flavobacteriales,0
NC_041855.1,Mycobacteriales,1
NC_041855.1,Thermoanaerobacterales,0
NC_041855.1,Enterobacterales,0
NC_041855.1,Mycoplasmatales,0
NC_041855.1,Campylobacterales,0
NC_041855.1,Sphingomonadales,0
NC_041855.1,Entomoplasmatales,0
NC_041855.1,Kitasatosporales,0
NC_041855.1,Hyphomicrobiales,0
NC_041855.1,Synechococcales,0
NC_041855.1,Leptospirales,0
NC_041855.1,Bdellovibrionales,0
NC_041855.1,Pseudomonadales,0
NC_041855.1,Nostocales,0
NC_041855.1,Chlamydiales,0
NC_041855.1,Actinomycetales,0
NC_041855.1,Propionibacteriales,0
NC_041855.1,Aeromonadales,0
NC_041855.1,Eubacteriales,0
NC_041855.1,Xanthomonadales,0
NC_041855.1,Bacteroidales,0
NC_041855.1,Pasteurellales,0
NC_041855.1,Bifidobacteriales,0
NC_041855.1,Candidatus Pelagibacterales,0
NC_041855.1,Caulobacterales,0
NC_041855.1,Alteromonadales,0
NC_041855.1,Bacillales,0
NC_041855.1,Oscillatoriales,0
NC_041855.1,Micrococcales,0
NC_041855.1,Rhodothermales,0
NC_041855.1,Rhodobacterales,0
NC_041855.1,Vibrionales,0
NC_041855.1,Thermales,0
NC_041855.1,Moraxellales,0
NC_041855.1,Burkholderiales,0
NC_041855.1,Lactobacillales,0
NC_041855.1,Flavobacteriales,0
NC_047940.1,Mycobacteriales,0
NC_047940.1,Thermoanaerobacterales,0
NC_047940.1,Enterobacterales,1
NC_047940.1,Mycoplasmatales,0
NC_047940.1,Campylobacterales,0
NC_047940.1,Sphingomonadales,0
NC_047940.1,Entomoplasmatales,0
NC_047940.1,Kitasatosporales,0
NC_047940.1,Hyphomicrobiales,0
NC_047940.1,Synechococcales,0
NC_047940.1,Leptospirales,0
NC_047940.1,Bdellovibrionales,0
NC_047940.1,Pseudomonadales,0
NC_047940.1,Nostocales,0
NC_047940.1,Chlamydiales,0
NC_047940.1,Actinomycetales,0
NC_047940.1,Propionibacteriales,0
NC_047940.1,Aeromonadales,0
NC_047940.1,Eubacteriales,0
NC_047940.1,Xanthomonadales,0
NC_047940.1,Bacteroidales,0
NC_047940.1,Pasteurellales,0
NC_047940.1,Bifidobacteriales,0
NC_047940.1,Candidatus Pelagibacterales,0
NC_047940.1,Caulobacterales,0
NC_047940.1,Alteromonadales,0
NC_047940.1,Bacillales,0
NC_047940.1,Oscillatoriales,0
NC_047940.1,Micrococcales,0
NC_047940.1,Rhodothermales,0
NC_047940.1,Rhodobacterales,0
NC_047940.1,Vibrionales,0
NC_047940.1,Thermales,0
NC_047940.1,Moraxellales,0
NC_047940.1,Burkholderiales,0
NC_047940.1,Lactobacillales,0
NC_047940.1,Flavobacteriales,0
NC_027345.1,Mycobacteriales,0
NC_027345.1,Thermoanaerobacterales,0
NC_027345.1,Enterobacterales,0
NC_027345.1,Mycoplasmatales,0
NC_027345.1,Campylobacterales,0
NC_027345.1,Sphingomonadales,0
NC_027345.1,Entomoplasmatales,0
NC_027345.1,Kitasatosporales,0
NC_027345.1,Hyphomicrobiales,0
NC_027345.1,Synechococcales,0
NC_027345.1,Leptospirales,0
NC_027345.1,Bdellovibrionales,0
NC_027345.1,Pseudomonadales,1
NC_027345.1,Nostocales,0
NC_027345.1,Chlamydiales,0
NC_027345.1,Actinomycetales,0
NC_027345.1,Propionibacteriales,0
NC_027345.1,Aeromonadales,0
NC_027345.1,Eubacteriales,0
NC_027345.1,Xanthomonadales,0
NC_027345.1,Bacteroidales,0
NC_027345.1,Pasteurellales,0
NC_027345.1,Bifidobacteriales,0
NC_027345.1,Candidatus Pelagibacterales,0
NC_027345.1,Caulobacterales,0
NC_027345.1,Alteromonadales,0
NC_027345.1,Bacillales,0
NC_027345.1,Oscillatoriales,0
NC_027345.1,Micrococcales,0
NC_027345.1,Rhodothermales,0
NC_027345.1,Rhodobacterales,0
NC_027345.1,Vibrionales,0
NC_027345.1,Thermales,0
NC_027345.1,Moraxellales,0
NC_027345.1,Burkholderiales,0
NC_027345.1,Lactobacillales,0
NC_027345.1,Flavobacteriales,0
NC_011201.1,Mycobacteriales,0
NC_011201.1,Thermoanaerobacterales,0
NC_011201.1,Enterobacterales,0
NC_011201.1,Mycoplasmatales,0
NC_011201.1,Campylobacterales,0
NC_011201.1,Sphingomonadales,0
NC_011201.1,Entomoplasmatales,0
NC_011201.1,Kitasatosporales,0
NC_011201.1,Hyphomicrobiales,0
NC_011201.1,Synechococcales,0
NC_011201.1,Leptospirales,0
NC_011201.1,Bdellovibrionales,0
NC_011201.1,Pseudomonadales,0
NC_011201.1,Nostocales,0
NC_011201.1,Chlamydiales,0
